id	ko_name
0	부서진/물건
1	단검
2	망고슈/단검
3	바젤라드
4	와키자시
5	레이피어
6	커틀러스
7	녹슨/검
8	장검
9	브로드소드
10	카타나
11	바스타드/소드
12	클레이모어
13	수염/전투도끼
14	전투/도끼
15	축성/도리깨
16	전쟁/홀
17	메이스
18	지팡이
19	모닝/스타
20	망치
21	전쟁 망치
22	창
23	송곳 창
24	육척/봉
25	보
26	할버드
27	이빨/단검
28	깃털/다트
29	슬링
30	총알/돌
31	단궁/활
32	장궁
33	버들/화살
34	경량/석궁
35	석궁살
36	포이냐르
37	스틸레토
38	월리블레이드
39	닌자토
40	플람베르주
41	츠바이핸더
42	노다치
43	양날도끼
44	지슈카 스타
45	벡드/코르뱅
46	황소채찍
47	수리검
48	사이
49	눈차쿠
50	랜스
51	성광함
52	포샤르
53	나기나타
54	색채/리라
55	시인/류트
56	가시/돌
57	때까치/화살
58	갈고리/화살
59	천사/혀
60	독/단검
61	창+2
62	브로드소드/+1
63	보팔/블레이드
64	용/학살검
65	무사도/검
66	독/다트
67	성전사/양손도끼+1
68	하야이 보
69	성스런/강타봉
70	류트 =/나태
71	피리 =/파멸
72	관통/돌
73	타리/돌
74	마법/활
75	갑옷/관통기
76	독사/화살
77	중량/석궁
78	사냥꾼/석궁살
79	세이렌/통곡
80	도둑/단검
81	검/퀴진아트
82	창 =/죽음
83	검 =/화염
84	도끼 =/다중룬
85	처녀/머리
86	벌컨/망치
87	까마귀/부리
88	아홉꼬리/채찍
89	뿔 =/프로메테우스
90	침묵/리라
91	손목/로켓
92	메두사/돌
93	대궁
94	신비/화살
95	피스메이커
96	공성/발레스트
97	번개/볼트
98	무덤 =/악마
99	리라 =/케이크
100	검 =/사풍
101	봉 =/12별
102	검 =/심장
103	성자/바스타드
104	송곳니
105	올리비아/에스톡
106	복수의/검
107	무라마사/검
108	엑스칼리버
109	검 =/에시르
110	다이아/눈
111	마에나드/랜스
112	자토이치/보
113	파우스트/할버드
114	엘프 활
115	람부스/지팡이
116	와키자시/+1
117	죽음의 별
118	기절봉
119	충격봉
120	천/셔츠
121	천/바지
122	로브 (상)
123	로브 (하)
124	모피/홀터
125	샤무아/치마
126	스웨이드/더블릿
127	스웨이드/바지
128	두건
129	깃털/모자
130	샌들
131	버스킨
132	모피/각반
133	누비/튜닉
134	누비/각반
135	가죽/흉갑
136	가죽/하우버크
137	가죽/각반
138	가죽/투구
139	퀴르/건틀릿
140	가죽/장화
141	버클러/방패
142	흉부/판금
143	강철/투구
144	녹슨/메일
145	사슬/하우버크
146	사슬/쇼스
147	메일 코이프
148	메일/장갑
149	사슬/호젠
150	원형/방패
151	올리브/더블릿
152	판금/메일 (상)
153	판금/메일 (하)
154	바시넷
155	강철/건틀릿
156	솔레렛
157	히터/방패
158	닌자/복장 (상)
159	닌자/복장 (하)
160	닌자/두건
161	타비/장화
162	마법사/고깔
163	미트라
164	죽음/수의
165	로브 (상)/+1
166	로브 (하)/+1
167	도마루/(상)
168	도마루/(하)
169	팔보호구 =/방어
170	청동/흉갑
171	가죽/경갑
172	징가죽/하우버크
173	징/쇼스
174	올리브/각반
175	프리지아/모자
176	투구&코이프
177	카부토
178	비단/장갑
179	샤무아/장갑
180	구리/장갑
181	방패 =/비상
182	사슬/메일+1 (상)
183	사슬/메일+1 (하)
184	재저런트/튜닉
185	재저런트/치마
186	청동/경갑
187	토세이도/(상)
188	토세이도/(하)
189	데스메일
190	판금/메일+2 (상)
191	판금/메일+2 (하)
192	버고넷/투구
193	바시넷/& 카메일
194	모자 =/기만
195	은/장갑
196	은/솔레렛
197	자석/장화
198	용/카이트
199	축성/망토
200	판금/메일+3 (상)
201	판금/메일+3 (하)
202	샤메일/더블릿+2
203	샤메일/바지+2
204	페어리 모자
205	성인의/미트라
206	망토 =/행운
207	지팡이 =/파멸
208	로브 =/마법(상)
209	로브 =/마법(하)
210	검은가운/=죽음(상)
211	검은가운/=죽음(하)
212	아르메트
213	사마귀/장갑
214	사마귀/장화
215	숲/망토
216	IUFSTFNEPS/배지
217	IUFSTFTUFS/배지
218	헤움
219	방탄/조끼
220	방탄/재킷
221	징퀴르/치마+2
222	징퀴르/브라+2
223	흑단/판금 (상)
224	흑단/판금 (하)
225	히카네도/(상)
226	히카네도/(하)
227	바위/수정
228	유황/덩이
229	향기/소금
230	만타/뿌리
231	사자/발톱
232	주주/돌
233	용/이빨
234	변위/망토
235	성전사/투구
236	흑단/헤움
237	코이프 =/신성
238	가운(상) =/신성
239	가운(하) =/신성
240	에메랄드/부적
241	그림자/망토
242	반지 =/투명
243	부적 =/치유
244	반지 =/별
245	은/십자가
246	발렌타인/목걸이
247	보석/방석
248	고무/흰곰
249	검은띠=/오화
250	헬라/펜던트
251	부식/수호구
252	자정/망토
253	약/가방
254	*빛*/*방패*
255	풍뎅이/목걸이
256	*빛*/*검*
257	개척자/페이저
258	파워팩
259	코발트/파워장갑
260	화환 =/장미
261	PK 수정
262	카메오/로켓
263	다이아/반지
264	머스킷
265	블런더/버스
266	화약_&/탄환
267	반지 =/진실
268	반지 =/공명
269	반지 =/방호
270	신비/반지
271	반지보호/냉기
272	반지보호/마법
273	박쥐/목걸이
274	부적 =/거미
275	부적 =/정지
276	부적 =/대기
277	부적 =/환영
278	부적/= 생명
279	앙크 =/힘
280	앙크 =/젊음
281	앙크 =/속도
282	앙크 =/민첩성
283	앙크 =/신성
284	앙크 =/생명
285	앙크 =/죽음
286	앙크 =/치유
287	십자가 =/퇴치
288	십자가 =/보호
289	책 =/악마
290	마나석
291	돌보호/대기
292	돌 =/새생명
293	지팡이 =/매혹
294	지팡이 =/축복
295	봉 =/침묵
296	봉보호/마비
297	유령/막대
298	봉보호/언데드
299	겨울완드
300	판도라/완드
301	수정/완드
302	완드 =/바람
303	가방 =/죽음
304	가방 =/속임수
305	불꽃/막대
306	고드름/막대
307	폭죽/막대
308	화염 막대
309	로켓/막대
310	부적 =/질식
311	부적보호/마법
